"ROUTINE_SCHEMA","ROUTINE_NAME"
"creditos","usp_registrar_desembolso_credito"
"creditos","usp_registrar_documento_expediente"
"creditos","usp_registrar_garantia_credito"
"creditos","usp_registrar_pago_credito"
"creditos","usp_registrar_pago_mixto_caja"
"creditos","usp_registrar_prorroga_credito"
"creditos","usp_registrar_reestructuracion_credito"
"creditos","usp_registrar_refinanciamiento_credito"
"creditos","usp_registrar_y_aplicar_pago_con_dispensa_credito"
"creditos","usp_registrar_y_aplicar_pago_credito"
"creditos","usp_trasladar_credito_a_cobro_judicial"
"creditos","usp_trasladar_credito_a_vencido"
"creditos","usp_traspasar_cartera_oficial_credito"
"cumplimiento","usp_abrir_caso_cumplimiento"
"cumplimiento","usp_abrir_expediente_regulatorio_cliente"
"cumplimiento","usp_crear_expediente_pla"
"cumplimiento","usp_crear_persona_pla"
"cumplimiento","usp_generar_alerta_cumplimiento"
"cumplimiento","usp_marcar_reporte_operacion_enviado"
"cumplimiento","usp_registrar_alerta_cumplimiento_cliente"
"cumplimiento","usp_registrar_coincidencia_lista"
"cumplimiento","usp_registrar_coincidencia_lista_cliente"
"cumplimiento","usp_registrar_declaracion_beneficiario_final_cliente"
"cumplimiento","usp_registrar_declaracion_origen_fondos_cliente"
"cumplimiento","usp_registrar_documento_expediente_cliente"
"cumplimiento","usp_registrar_documento_pla"
"cumplimiento","usp_registrar_evaluacion_kyc_cliente"
"cumplimiento","usp_registrar_perfil_transaccional"
"cumplimiento","usp_registrar_reporte_operacion_cliente"
"cumplimiento","usp_registrar_seguimiento_caso"
"cumplimiento","usp_resolver_alerta_cumplimiento_cliente"
"cxc","usp_aplicar_anticipo_cliente"
"cxc","usp_registrar_anticipo_cliente"
"cxc","usp_registrar_cobro_cliente"
"cxp","usp_aplicar_anticipo_proveedor"
"cxp","usp_registrar_anticipo_proveedor"
"cxp","usp_registrar_pago_proveedor"
"cxp","usp_revertir_anticipo_proveedor"
"cxp","usp_revertir_pago_proveedor"
"dbo","zz_test_sig1"
"dbo","zz_test_sig2"
"dbo","zz_test_sig3"
"inventario","usp_actualizar_bodega"
"inventario","usp_actualizar_categoria_producto"
"inventario","usp_actualizar_producto"
"inventario","usp_actualizar_unidad_medida"
"inventario","usp_registrar_bodega"
"inventario","usp_registrar_categoria_producto"
"inventario","usp_registrar_producto"
"inventario","usp_registrar_unidad_medida"
"nomina","usp_abrir_periodo_nomina"
"nomina","usp_cerrar_nomina"
"nomina","usp_generar_esquela_pago"
"nomina","usp_generar_liquidacion"
"nomina","usp_generar_nomina"
"nomina","usp_publicar_esquela_pago"
"nomina","usp_registrar_envio_esquela_pago"
"operacion","usp_agregar_detalle_solicitud_dispensa_credito"
"operacion","usp_aplicar_dispensa_credito"
"operacion","usp_crear_solicitud_dispensa_credito"
"operacion","usp_registrar_bitacora_operativa"
"operacion","usp_resolver_solicitud_dispensa_credito"
"operacion","usp_resolver_solicitud_dispensa_credito_parcial"
"operacion","usp_solicitar_anulacion_pago_credito"
"parametros","usp_registrar_tipo_cambio_institucional"
"parametros","usp_registrar_tipo_cambio_oficial"
"proveedores","usp_actualizar_proveedor"
"proveedores","usp_registrar_proveedor"
"regulatorio","usp_calcular_cartera_conami_sifnic"
"regulatorio","usp_generar_snapshot_cierre_conami"
"reportes","usp_contabilidad_auxiliar"
"reportes","usp_contabilidad_balance_comprobacion"
"reportes","usp_contabilidad_balance_general"
"reportes","usp_contabilidad_diario_general"
"reportes","usp_contabilidad_estado_resultados"
"reportes","usp_contabilidad_mayor_general"
"reportes","usp_contabilidad_resumen_cuentas"
"reportes","usp_contabilidad_resumen_origenes"
"reportes","usp_reporte_caja_por_fecha"
"reportes","usp_reporte_credito_detallado"
"reportes","usp_reporte_mora_por_fecha"
"reportes","usp_reporte_pagos_por_rango"
"reportes","usp_reporte_tipos_cambio_por_rango"
"rrhh","usp_aprobar_hora_extra"
"rrhh","usp_aprobar_permiso"
"rrhh","usp_aprobar_vacacion"
"rrhh","usp_crear_empleado"
"rrhh","usp_registrar_contrato"
"rrhh","usp_registrar_hora_extra"
"rrhh","usp_solicitar_permiso"
"rrhh","usp_solicitar_vacacion"
"ventas","usp_actualizar_lista_precio"
"ventas","usp_registrar_factura"
"ventas","usp_registrar_lista_precio"
"ventas","usp_registrar_nota_credito"
